,location_accuracy,landslide_category,landslide_trigger,landslide_size,landslide_setting,fatality_count,injury_count,country_name,admin_division_population,longitude,latitude
635,25km,landslide,rain,medium,above_road,,,India,3278.0,75.1921061,33.33875958
636,1km,mudslide,rain,small,other,0.0,,United States,8227.0,-111.7619,46.6637
637,50km,landslide,rain,medium,other,4.0,,China,0.0,98.4802,25.1424
638,5km,complex,rain,medium,other,,,United States,805235.0,-122.4629,37.7923
639,5km,debris_flow,downpour,medium,natural_slope,0.0,,United States,1191.0,-120.9229,46.8218
640,5km,rock_fall,unknown,small,above_road,0.0,0.0,United States,1514.0,-119.4919,47.4097
641,50km,landslide,downpour,medium,other,5.0,0.0,China,0.0,114.1384,26.6378
642,10km,landslide,downpour,medium,other,0.0,,Pakistan,10414.0,74.158,36.1788
643,5km,landslide,downpour,small,other,0.0,,India,58562.0,73.3747,18.7624
644,50km,landslide,monsoon,medium,other,0.0,,Nepal,20908.0,81.7191,29.0399
645,10km,landslide,downpour,medium,other,0.0,,India,7317.0,75.2373,33.2407
646,1km,landslide,downpour,medium,other,,,United States,83393.0,-82.5412,35.6057
647,exact,landslide,unknown,unknown,above_road,0.0,0.0,United States,2449.0,-123.8629,44.6792
648,5km,landslide,tropical_cyclone,medium,other,0.0,,Philippines,2337.0,121.2194,17.9209
649,5km,mudslide,tropical_cyclone,medium,other,3.0,,Dominican Republic,66784.0,-70.044,18.427
650,5km,landslide,downpour,medium,other,5.0,,Philippines,5025.0,122.7663,14.2245
651,5km,mudslide,downpour,medium,other,,,United Kingdom,82903.0,-2.9735,51.3512
653,25km,landslide,downpour,medium,other,0.0,,India,8364.0,93.1645,25.5215
654,5km,landslide,downpour,medium,other,0.0,,Trinidad and Tobago,8140.0,-61.5335,10.6834
655,10km,landslide,continuous_rain,medium,above_road,0.0,0.0,India,7317.0,75.2845,33.2049
656,exact,landslide,unknown,unknown,above_road,0.0,0.0,United States,1045.0,-122.6265,43.8396
657,10km,landslide,rain,small,other,0.0,,United States,1035.0,-119.7538,37.7289
658,exact,rock_fall,earthquake,small,natural_slope,0.0,0.0,New Zealand,1187.0,170.1797,-43.5698
659,25km,landslide,downpour,medium,other,0.0,,India,7317.0,75.244,33.2609
660,1km,landslide,continuous_rain,medium,above_river,1.0,5.0,China,0.0,109.8971,31.0918
661,5km,landslide,continuous_rain,medium,above_road,0.0,0.0,Jamaica,12797.0,-77.0428,18.2031
663,5km,landslide,downpour,medium,other,1.0,,India,8341.0,77.2181,32.3491
664,1km,landslide,downpour,large,other,12.0,,Brazil,153635.0,-44.3228,-23.0085
665,25km,landslide,downpour,medium,other,0.0,,Philippines,2485.0,124.3113,7.5048
666,5km,landslide,downpour,small,other,0.0,,United States,53007.0,-122.3793,47.7628
